name	id	max_length	max_width	island_group	body_of_water
Egg Island, Bahamas	/m/0650zs				
Faiava Island	/m/0c7s09			Loyalty Islands	
Bundal Island	/m/0c_4vh				
Phillimore Island	/m/0cnrk1				
Kagalaska Island	/m/0d60dr			Andreanof Islands,Aleutian Islands	
Mabel Island	/m/0d5vvs				
Havannah Island	/m/0d3qb9				
Ramsey Island	/m/0cc9yrm				
Sir Bani Yas Island	/m/0cg126c				Persian Gulf
Chira Island	/m/0cc27p				
Bartolomé Island	/m/0cpgl8				Pacific Ocean
Zavala Island	/m/0bwhjc3			South Shetland Islands	
Valaxa	/m/0cth2x				
Rattlesnake Island, Queensland	/m/0d40k8				
Mouli Island	/m/0c79_f			Loyalty Islands	
Nunn Island	/m/0dsc79r				
Vkhodnoy Island	/m/0ds8k6m				
Langenwerder	/m/0dm73l				
Navtilos	/m/0fb8b3				
Blåskimen Island	/m/0ds2dm9				
Conway Island	/m/0dry3c2				
Lugg Island	/m/0fq0rnq				
Eriskay	/m/02283n			Outer Hebrides,British Isles	
Saba	/m/01qz3s			Leeward Islands,Antilles,Lesser Antilles	
Staffa	/m/014tzp			British Isles,Inner Hebrides	
Laulasi Island	/m/04yhj6g			Solomon Islands	
Lake Island	/m/05mx8hb				
Mornington Island	/m/05n6g7			Wellesley Islands	Gulf of Carpentaria
Mukojima	/m/063t8zj			Ogasawara Islands	
Malden Island	/m/04t1j			Line Islands	Pacific Ocean
Russell Island, Canada	/m/056lgs			Canadian Arctic Archipelago	
Taravai	/m/056625			Gambier Islands,Tuamotu-Gambier Islands	
Goian Island	/m/05pbrpx				
Cara Island	/m/0642ft			Inner Hebrides,British Isles	
Alareak Island	/m/05h4jny			Canadian Arctic Archipelago	
Slate Islands	/m/05wn_5				Lake Superior
Keesseyréhaa	/m/07pyb1				
Fletcher Island	/m/07__4g				
Kanditheemu	/m/076wby				
Makunudhoo	/m/076wwk				
Liugong Island	/m/07jxnr				
Christine Island	/m/07_jql				
Dhiddhoofinolhu	/m/07pwh8				
Astove Island	/m/06ywdm			Outer Islands,Seychelles Archipelago	
Mahibadhoo	/m/076t8x				
Dhanbidhoo	/m/076ntq				
Bazaruto Island	/m/07s6jq				Indian Ocean
Bushy Islet, Queensland	/m/0dcg_7				
Gyali	/m/0cthj0			Dodecanese	Aegean Sea
Karlonísi	/m/0d4bmm			Ionian Islands	
Sandycove Island	/m/0bkjmy				
Retiro Island	/m/0bmgp__				
Twin Island, Torres Strait	/m/0ddwkk			Torres Strait Islands	Pacific Ocean,Torres Strait
Hodikof Island	/m/0bx27r			Aleutian Islands,Near Islands	
Polyaigos	/m/0cthbr			Cyclades	Aegean Sea
Brisk Island	/m/0ch4dm				
Howick Island, Queensland	/m/0d9jrh				
Brewis Island, Queensland	/m/0dd805				
Srirangam Island	/m/0dllknz				
Bach Long Vi	/m/0cg4tf				
Fire Island	/m/0d_0f1				
Anoraliuirsoq	/m/0ch2kw6				Atlantic Ocean
Aaron Island	/m/0c01dxj			Alexander Archipelago	
Herald Island	/m/0d3t4j				
Piperi, Greece	/m/0cth02				Aegean Sea
Keewaydin Island	/m/0c6hq4				
Basilan	/m/0c3qw7			Sulu Archipelago,Jolo Island	
Gruinard Island	/m/0btb2			Inner Hebrides,British Isles	
Frisbie Island	/m/0cfkvr			Thimble Islands	
Lindhards Island	/m/0ch5jhh				
Isla Navarino	/m/0c_0t8			Tierra del Fuego	
Pustoi Island	/m/0bxxq0			Fox Islands,Aleutian Islands	
Gilmour Island	/m/06zqvrd			Canadian Arctic Archipelago	Hudson Bay
Neykurendhoo	/m/076wxy				
